date,class,counts
2017-12-17T05:00:00Z,unknown2,57526
2017-12-17T05:00:00Z,zooplankton,11
2017-12-24T05:00:00Z,Akashiwo,93
2017-12-24T05:00:00Z,Asterionella glacialis,860
2017-12-24T05:00:00Z,Bacillaria,111
2017-12-24T05:00:00Z,bad,2
2017-12-24T05:00:00Z,bead,49310
2017-12-24T05:00:00Z,Cerataulina bergonii,58
2017-12-24T05:00:00Z,Ceratium,2
2017-12-24T05:00:00Z,Chrysochromulina lanceolata,6
2017-12-24T05:00:00Z,Ciliophora,2030
2017-12-24T05:00:00Z,Corethron hystrix,146
2017-12-24T05:00:00Z,Coscinodiscus,44
2017-12-24T05:00:00Z,Cryptophyta,102907
2017-12-24T05:00:00Z,Cylindrotheca,2911
2017-12-24T05:00:00Z,detritus,344
2017-12-24T05:00:00Z,Dictyocha,90
2017-12-24T05:00:00Z,Dinobryon,154
2017-12-24T05:00:00Z,Dinophysis,78
2017-12-24T05:00:00Z,Ditylum brightwellii,271
2017-12-24T05:00:00Z,Eucampia,76
2017-12-24T05:00:00Z,Eucampia striata,34
2017-12-24T05:00:00Z,group chaetoceros curly,1423
2017-12-24T05:00:00Z,group chaetoceros single cell,8434
2017-12-24T05:00:00Z,group chaetoceros straight,896
2017-12-24T05:00:00Z,group pennate,11528
2017-12-24T05:00:00Z,Guinardia blavyana var. blavyana,23
2017-12-24T05:00:00Z,Gyrodinium,59
2017-12-24T05:00:00Z,Helicopsis,7
2017-12-24T05:00:00Z,Heterocapsa rotundata,26133
2017-12-24T05:00:00Z,Laboea strobila,19
2017-12-24T05:00:00Z,Leptocylindrus,986
2017-12-24T05:00:00Z,Licmophora,263
2017-12-24T05:00:00Z,Margalefidinium,59
2017-12-24T05:00:00Z,Mesodinium,895
2017-12-24T05:00:00Z,Odontella,49
2017-12-24T05:00:00Z,Odontella mobiliensis,2
2017-12-24T05:00:00Z,Paralia sulcata,440
2017-12-24T05:00:00Z,Pleurosigma,261
2017-12-24T05:00:00Z,pollen,45
2017-12-24T05:00:00Z,Polykrikos,26
2017-12-24T05:00:00Z,Prorocentrum,341
2017-12-24T05:00:00Z,Protoperidinium,25
2017-12-24T05:00:00Z,Protozoa,257410
2017-12-24T05:00:00Z,Pseudo-nitzschia,199
2017-12-24T05:00:00Z,Pyramimonas longicauda,3123
2017-12-24T05:00:00Z,Rhizosolenia,151
2017-12-24T05:00:00Z,Rhizosolenia delicatula,967
2017-12-24T05:00:00Z,Skeletonema,2615
2017-12-24T05:00:00Z,square unknown,92921
2017-12-24T05:00:00Z,Strobilidium,19
2017-12-24T05:00:00Z,Strombidium morphotype2,257
2017-12-24T05:00:00Z,Thalassionema,172
2017-12-24T05:00:00Z,Thalassiosira,3937
2017-12-24T05:00:00Z,Tintinnina,31
2017-12-24T05:00:00Z,unclassified,245638
2017-12-24T05:00:00Z,unknown1,14
2017-12-24T05:00:00Z,unknown2,57219
2017-12-24T05:00:00Z,zooplankton,28
2017-12-31T05:00:00Z,Akashiwo,53
